Apple Inc. (AAPL) - Income Statement (in millions USD)
,,,,,,
Line Item,TTM (Dec '25),FY 2025 (Sep '25),FY 2024 (Sep '24),FY 2023 (Sep '23),FY 2022 (Sep '22),FY 2021 (Sep '21)
,,,,,,
Revenue,"435,617","416,161","391,035","383,285","394,328","365,817"
Revenue Growth (YoY),10.07%,6.43%,2.02%,-2.80%,7.79%,33.26%
Cost of Revenue,"229,460","220,960","210,352","214,137","223,546","212,981"
Gross Profit,"206,157","195,201","180,683","169,148","170,782","152,836"
,,,,,,
Operating Expenses,,,,,,
Selling General & Admin,"27,918","27,601","26,097","24,932","25,094","21,973"
Research & Development,"37,169","34,550","31,370","29,915","26,251","21,914"
Total Operating Expenses,"65,087","62,151","57,467","54,847","51,345","43,887"
,,,,,,
Operating Income,"141,070","133,050","123,216","114,301","119,437","108,949"
Non-Operating Income (Expense),77,-321,269,-565,-334,258
Pretax Income,"141,147","132,729","123,485","113,736","119,103","109,207"
Income Tax Expense,"23,370","20,719","29,749","16,741","19,300","14,527"
Net Income,"117,777","112,010","93,736","96,995","99,803","94,680"
,,,,,,
Per Share Data,,,,,,
EPS (Basic),7.92,7.49,6.11,6.16,6.15,5.67
EPS (Diluted),7.91,7.46,6.09,6.13,6.11,5.61
EPS Growth,25.56%,22.50%,-0.65%,0.33%,8.91%,71.04%
Dividends Per Share,1.030,1.020,0.980,0.940,0.900,0.850
Shares Outstanding (Diluted),"14,920","15,004","15,408","15,813","16,326","16,865"
,,,,,,
Margins,,,,,,
Gross Margin,47.33%,46.91%,46.21%,44.13%,43.31%,41.78%
Operating Margin,32.38%,31.97%,31.51%,29.82%,30.29%,29.78%
Profit Margin,27.04%,26.92%,23.97%,25.31%,25.31%,25.88%
,,,,,,
Cash Flow,,,,,,
Free Cash Flow,"123,324","98,767","108,807","99,584","111,443","92,953"
FCF Per Share,8.27,6.58,7.06,6.30,6.83,5.51
,,,,,,
EBITDA,"152,902","144,748","134,661","125,820","130,541","120,233"
Effective Tax Rate,16.56%,15.61%,24.09%,14.72%,16.20%,13.30%
